Serial,Year,Startup,Industry Vertical,Location,Investors,InvestmentType,Amount
2606,2017,Mswipe,Technology,Mumbai,Eduardo Saverin,Private Equity,"1,00,00,000"
2607,2017,The Label Life,E-Commerce,Mumbai,Kalpvriksh,Private Equity,"31,00,000"
2608,2017,Cygnus Hospitals,Healthcare,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,"7,50,000"
2609,2017,eShakti,Ecommerce,Chennai,IDG Ventures,Debt Funding,"23,00,000"
2610,2017,Inshorts,Technology,Noida,Tiger Global,Private Equity,"50,00,000"
2611,2017,Vahdam Tea,E-Commerce,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,"15,00,000"
2612,2017,Logic Roots,Technology,Mumbai,Village Capital,Seed/Angel Funding,"50,000"
2613,2017,Project Mudra,Technology,Bengaluru,Village Capital,Seed/Angel Funding,"50,000"
2614,2017,Furlenco,Technology,Bengaluru,Aamir Khan,Debt Funding,"12,00,000"
2615,2017,I Can Stay,Technology,Delhi,HT Media,Private Equity,"18,00,000"
2616,2017,Fracktal Works,Technology,Bengaluru,Hyderabad Angels,Seed/Angel Funding,NA
2617,2017,Simility,Technology,Hyderabad,Accel Partners,Private Equity,"1,75,00,000"
2618,2017,Shopholix,E-Commerce,Gurgaon,Munesh Khanna,Seed/Angel Funding,"2,33,000"
2619,2017,MindTickle,Technology,Pune,Canaan Partners,Private Equity,"2,70,00,000"
2620,2017,Nazara Technologies,Technology,Mumbai,Rakesh Jhunjhunwala,Private Equity,"2,70,00,000"
2621,2017,DocsApp,Technology,Bengaluru,Bessemer Venture Partners,Private Equity,"72,00,000"
2622,2017,Capita World,Technology,Mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,NA
2623,2017,Tea Box,E-Commerce,Bengaluru,RB Investments,Private Equity,"70,00,000"
2624,2017,Transversal Technologies,Technology,Bengaluru,Matrix Partners,Private Equity,"60,00,000"
2625,2017,Curofy,Technology,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,"2,50,000"
2626,2017,HomeLane,E-Commerce,Bengaluru,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,"1,00,00,000"
2627,2017,WeDoSky,Technology,Delhi,Mumbai Angels Network,Private Equity,NA
2628,2017,Purplle,E-Commerce,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,"5,37,000"
2629,2017,Cash Suvidha,E-Commerce,Delhi,NA,Debt Funding,"27,00,000"
2630,2017,Sky Met Weather,Technology,Noida,InsuResillience Investment Fund,Private Equity,NA
2631,2017,Springboard,Technology,Bengaluru,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,"95,00,000"
